"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","class=UP","0.42454204369896276","0.03688696423462951","0.007377392846925909","0.007951003987656453","0.01751873485432147","nswdemand='(-inf-0.276331]'","1.6316843432467865E-4","nswdemand='(0.559135-inf)'"
"nswdemand_class","class=DOWN","0.5754579563010375","0.008750390002519856","0.0017500780005039712","0.0014077766992212802","0.003588952863276776","nswdemand='(0.276331-0.397129]'","3.663118434406032E-4","nswdemand='(0.397129-0.481628]'"
"day_class","class=UP","0.42454204369896276","0.03496935672585433","0.004995622389407761","0.002770255239934169","0.00972539872583314","day=1","0.001265841944580251","day=5"
"day_class","class=DOWN","0.5754579563010375","0.02749846610041462","0.003928352300059228","0.0027871043487506368","0.007793669139293663","day=2","7.744387236719857E-4","day=4"
"period_class","class=UP","0.42454204369896276","0.04439150131609419","0.008878300263218836","0.0035154947708275434","0.012536345844426908","period='(0.414894-0.606383]'","0.0031269156776409374","period='(0.819149-inf)'"
"period_class","class=DOWN","0.5754579563010375","0.03450599901471497","0.006901199802942992","0.0028247823872783974","0.009661977221940524","period='(0.606383-0.819149]'","0.002059213304789781","period='(0.819149-inf)'"
"nswprice_class","class=UP","0.42454204369896276","0.3502672299358073","0.07005344598716148","0.030334107327235016","0.09188554899820936","nswprice='(0.077804-inf)'","0.010924111541820616","nswprice='(0.043518-0.056848]'"
"nswprice_class","class=DOWN","0.5754579563010375","0.4851890304151215","0.09703780608302429","0.08328588521254589","0.24259451520756076","nswprice='(-inf-0.03223]'","0.013768329750679351","nswprice='(0.077804-inf)'"
"transfer_class","class=UP","0.42454204369896276","0.7786408281327811","0.15572816562655623","0.11839158035233323","0.3893204140663905","transfer='(0.414693-0.415132]'","0.08563285285930736","transfer='(0.415132-0.551974]'"
"transfer_class","class=DOWN","0.5754579563010375","0.7587018539039159","0.15174037078078328","0.11577570874631055","0.379350926951958","transfer='(0.414693-0.415132]'","0.07462700460559693","transfer='(0.415132-0.551974]'"
"vicprice_class","class=UP","0.42454204369896276","0.7820143884892088","0.15640287769784175","0.1303357205950402","0.39100719424460434","vicprice='(0.003466-0.003468]'","0.019785080834974354","vicprice='(0.003067-0.003466]'"
"vicprice_class","class=DOWN","0.5754579563010375","0.7592289416659203","0.15184578833318407","0.1342218713011443","0.37961447083296007","vicprice='(0.003466-0.003468]'","0.020754656530793537","vicprice='(0.003067-0.003466]'"
"vicdemand_class","class=UP","0.42454204369896276","0.7819116135662899","0.15638232271325808","0.1196258737264565","0.3909558067831449","vicdemand='(0.422877-0.423006]'","0.07101255246591703","vicdemand='(0.335448-0.422877]'"
"vicdemand_class","class=DOWN","0.5754579563010375","0.7594584139264989","0.15189168278529977","0.1233404354389496","0.3797292069632495","vicdemand='(0.422877-0.423006]'","0.05540899551384938","vicdemand='(0.540782-inf)'"
"date_class","class=UP","0.42454204369896276","0.8154162384378212","0.16308324768756424","0.08018258058628251","0.2112876078266358","date='(0.889275-inf)'","0.005015083241633078","date='(0.442967-0.471594]'"
"date_class","class=DOWN","0.5754579563010375","0.7939006768575557","0.15878013537151112","0.07939652827749018","0.20659365731234314","date='(0.471594-0.889275]'","0.002018036687965477","date='(0.442967-0.471594]'"
